"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","(default)","src/AbstractEmployee.java","3","2","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"2","(default)","src/AbstractEmployee.java","3","2","This abstract class does not have any abstract methods","Design Rules","AbstractClassWithoutAbstractMethod"
"3","(default)","src/AbstractEmployee.java","3","4","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"4","(default)","src/AbstractEmployee.java","3","4","Private field 'name' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"5","(default)","src/AbstractEmployee.java","3","6","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"6","(default)","src/AbstractEmployee.java","3","8","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"7","(default)","src/AbstractEmployee.java","3","8","Parameter 'salary' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"8","(default)","src/AbstractEmployee.java","3","17","Parameter 'employeeType' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"9","(default)","src/AbstractEmployee.java","3","21","Parameter 'salary' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"10","(default)","src/AbstractEmployee.java","1","25","An empty method in an abstract class should be abstract instead","Design Rules","EmptyMethodInAbstractClassShouldBeAbstract"
"11","(default)","src/AbstractEmployee.java","3","25","Document empty method","Design Rules","UncommentedEmptyMethod"
"12","(default)","src/AbstractEmployee.java","3","25","Parameter 'employee' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"13","(default)","src/AbstractEmployee.java","2","33","System.out.print is used","Java Logging Rules","SystemPrintln"
"14","(default)","src/EmployeeJunior.java","3","2","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"15","(default)","src/EmployeeJunior.java","3","4","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"16","(default)","src/EmployeeJunior.java","3","4","Parameter 'salary' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"17","(default)","src/EmployeeJunior.java","3","9","Parameter 'employee' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"18","(default)","src/EmployeeMedior.java","3","2","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"19","(default)","src/EmployeeMedior.java","3","4","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"20","(default)","src/EmployeeMedior.java","3","4","Parameter 'salary' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"21","(default)","src/EmployeeMedior.java","3","9","Parameter 'employee' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"22","(default)","src/EmployeeSenior.java","3","2","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"23","(default)","src/EmployeeSenior.java","3","4","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"24","(default)","src/EmployeeSenior.java","3","4","Parameter 'salary' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"25","(default)","src/EmployeeSenior.java","3","9","Parameter 'employee' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"26","Exceptions","src/Exceptions/EmployeeException.java","3","1","Package name contains upper case characters","Naming Rules","PackageCase"
"27","Exceptions","src/Exceptions/EmployeeException.java","3","5","Parameter 'message' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"28","(default)","src/Main.java","3","3","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"29","(default)","src/Main.java","3","3","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"30","(default)","src/Main.java","3","5","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"31","(default)","src/Main.java","3","7","Local variable 'salarySystem' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"32","(default)","src/Main.java","3","9","Local variable 'employee1' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"33","(default)","src/Main.java","3","10","Local variable 'employee2' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"34","(default)","src/Main.java","3","11","Local variable 'employee3' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"35","(default)","src/Main.java","3","12","Local variable 'employee4' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"36","(default)","src/Main.java","2","20","System.out.print is used","Java Logging Rules","SystemPrintln"
"37","(default)","src/SalarySystem.java","3","4","All classes and interfaces must belong to a named package","Naming Rules","NoPackage"
"38","(default)","src/SalarySystem.java","3","6","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"39","(default)","src/SalarySystem.java","3","6","Avoid using implementation types like 'ArrayList'; use the interface instead","Type Resolution Rules","LooseCoupling"
"40","(default)","src/SalarySystem.java","3","6","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBean Rules","BeanMembersShouldSerialize"
"41","(default)","src/SalarySystem.java","3","6","Private field 'employees' could be made final; it is only initialized in the declaration or constructor.","Design Rules","ImmutableField"
"42","(default)","src/SalarySystem.java","3","8","Parameter 'employee' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"43","(default)","src/SalarySystem.java","3","9","Avoid if (x != y) ..; else ..;","Design Rules","ConfusingTernary"
"44","(default)","src/SalarySystem.java","3","17","Parameter 'name' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"45","(default)","src/SalarySystem.java","3","20","A method should have only one exit point, and that should be the last statement in the method","Controversial Rules","OnlyOneReturn"
"46","(default)","src/SalarySystem.java","3","26","Parameter 'employee' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"47","(default)","src/SalarySystem.java","2","32","System.out.print is used","Java Logging Rules","SystemPrintln"
